0:00;15,1
0:01;15,2
0:02;15,1
0:03;15,3
0:04;15,5
0:05;15,4
0:06;15,2
0:07;15,1
0:08;14,8
0:09;14,7
0:10;15,1
0:11;15,5
0:12;15,4
0:13;15,1
0:14;15,1
0:15;15,2
0:16;15,1
0:17;15,1
0:18;15,0
0:19;15,1
0:20;14,9
0:21;15,1
0:22;10,0
0:23;11,0
0:24;14,8
0:25;15,0
0:26;15,1
0:27;15,2
0:28;15,1
0:29;15,2
0:30;15,1
0:31;15,2
0:32;15,1
0:33;15,2
0:34;15,1
0:35;15,2
0:36;15,1
0:37;15,2
0:38;15,1
0:39;15,2
0:40;15,2
0:41;15,1
0:42;15,2
0:43;15,1
0:44;15,2
0:45;15,2
0:46;15,1
0:47;15,2
0:48;15,1
0:49;15,2
0:50;15,2
0:51;15,2
0:52;15,1
0:53;15,2
0:54;15,1
0:55;15,2
0:56;15,1
0:57;15,2
0:58;15,1
0:59;15,2
1:00;15,2
